Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CuPa,Chrome 64.0.3282.186,,2018-03-06 14:56:35,2018-03-06 15:01:06,"4m - 30,572s",PASSED
,,,,,,
Test Cases/CuPaStefanie/0,Chrome 64.0.3282.186,,2018-03-06 14:56:36,2018-03-06 14:56:36,"0,577s",PASSED
Statement - timeStamp = new java.text.SimpleDateFormat(dd.MM.yyyy).format(java.util.Calendar.getInstance().getTime()),Chrome 64.0.3282.186,,2018-03-06 14:56:36,2018-03-06 14:56:36,"0,047s",PASSED
Statement - timeStampScreenshot = new java.text.SimpleDateFormat(dd.MM.yyyy).format(java.util.Calendar.getInstance().getTime()),Chrome 64.0.3282.186,,2018-03-06 14:56:36,2018-03-06 14:56:36,"0,001s",PASSED
Statement - ps = new java.io.PrintStream((((timeStamp + _Run) + run) + .txt)),Chrome 64.0.3282.186,,2018-03-06 14:56:36,2018-03-06 14:56:36,"0,016s",PASSED
,,,,,,
Test Cases/CuPaStefanie/1,Chrome 64.0.3282.186,,2018-03-06 14:56:36,2018-03-06 14:58:20,"1m - 43,425s",PASSED
Statement - timeStamp = new java.text.SimpleDateFormat(dd.MM.yyyy).format(java.util.Calendar.getInstance().getTime()),Chrome 64.0.3282.186,,2018-03-06 14:56:37,2018-03-06 14:56:37,"0,002s",PASSED
Statement - timeStampScreenshot = new java.text.SimpleDateFormat(dd.MM.yyyy).format(java.util.Calendar.getInstance().getTime()),Chrome 64.0.3282.186,,2018-03-06 14:56:37,2018-03-06 14:56:37,"0,003s",PASSED
Statement - iconmap = [:],Chrome 64.0.3282.186,,2018-03-06 14:56:37,2018-03-06 14:56:37,"0,001s",PASSED
Statement - txtmap = [:],Chrome 64.0.3282.186,,2018-03-06 14:56:37,2018-03-06 14:56:37,"0,001s",PASSED
Statement - signmap = [:],Chrome 64.0.3282.186,,2018-03-06 14:56:37,2018-03-06 14:56:37,"0,001s",PASSED
cupakeysDl.initStart.initialStart,Chrome 64.0.3282.186,,2018-03-06 14:56:37,2018-03-06 14:56:57,"19,909s",PASSED
Statement - (step++),Chrome 64.0.3282.186,,2018-03-06 14:56:57,2018-03-06 14:56:57,"0,000s",PASSED
cupakeysDl.color.changecolor,Chrome 64.0.3282.186,,2018-03-06 14:56:57,2018-03-06 14:57:04,"7,110s",PASSED
Statement - (step++),Chrome 64.0.3282.186,,2018-03-06 14:57:04,2018-03-06 14:57:04,"0,000s",PASSED
cupakeysDl.chngstruct.changestructure,Chrome 64.0.3282.186,,2018-03-06 14:57:04,2018-03-06 14:57:13,"9,288s",PASSED
Statement - (step++),Chrome 64.0.3282.186,,2018-03-06 14:57:13,2018-03-06 14:57:13,"0,000s",PASSED
cupakeysDl.sclstruct.scalestructure,Chrome 64.0.3282.186,,2018-03-06 14:57:13,2018-03-06 14:57:47,"33,971s",PASSED
Statement - (step++),Chrome 64.0.3282.186,,2018-03-06 14:57:47,2018-03-06 14:57:47,"0,001s",PASSED
"Statement - iconmap += CustomKeywords.cupakeysDl.iconad.iconadd(""unionjack"", LoadTimeCorrector, step, run, device, timeStamp, iconcount)",Chrome 64.0.3282.186,,2018-03-06 14:57:47,2018-03-06 14:57:52,"5,020s",PASSED
Statement - (step++),Chrome 64.0.3282.186,,2018-03-06 14:57:52,2018-03-06 14:57:52,"0,000s",PASSED
